target,alert_capacity_pct,alert_count,threshold_score,true_positives,false_positives,false_negatives,precision_pct,recall_pct,false_alerts_per_true_positive
early_deterioration_6m,1.0,6519,0.13288287818431854,813,5706,14429,12.471237919926368,5.333945676420417,7.018450184501845
early_deterioration_6m,5.0,32596,0.09014133363962173,2833,29763,12409,8.691250460179162,18.586799632594147,10.505824214613485
early_deterioration_6m,10.0,65191,0.059369202703237534,4756,60435,10486,7.2954855731619395,31.203254166119933,12.707106812447435
