target,alert_capacity_pct,alert_count,threshold_score,true_positives,false_positives,false_negatives,precision_pct,recall_pct,false_alerts_per_true_positive
formal_adverse_6m,1.0,6583,0.19026398658752441,1599,4984,1593,24.289837460124563,50.09398496240601,3.1169480925578488
formal_adverse_6m,5.0,32916,0.013051585294306278,2035,30881,1157,6.182403694252035,63.7531328320802,15.174938574938574
formal_adverse_6m,10.0,65831,0.011665836907923222,2247,63584,945,3.4132855341708312,70.39473684210526,28.297285269247887
