acquisition_cohort,feature,mean_abs_shap
2024Q1,num__original_combined_loan_to_value_ratio_cltv,0.04920089244842529
2024Q1,num__number_of_borrowers,0.17002154886722565
2024Q1,num__debt_to_income_dti,0.10419406741857529
2024Q1,num__borrower_credit_score_at_origination,0.6732040047645569
2024Q1,num__co_borrower_credit_score_at_origination,0.11723428219556808
2024Q1,num__mortgage_insurance_percentage,0.004110479727387428
2024Q1,num__current_interest_rate,0.14878517389297485
2024Q1,num__current_actual_upb,0.12498639523983002
2024Q1,num__loan_age,0.25224098563194275
2024Q1,num__remaining_months_to_legal_maturity,0.10767373442649841
2024Q1,num__remaining_months_to_maturity,0.234276682138443
2024Q1,cat__channel,0.10872048884630203
2024Q1,cat__first_time_home_buyer_indicator,0.04882119223475456
2024Q1,cat__loan_purpose,0.06913070380687714
2024Q1,cat__property_type,0.03465387225151062
2024Q1,cat__number_of_units,0.00309934769757092
2024Q1,cat__occupancy_status,0.010871490463614464
2024Q1,cat__property_state,0.07324923574924469
2024Q1,cat__amortization_type,0.0
2024Q1,cat__current_loan_delinquency_status,0.0
2024Q1,cat__modification_flag,0.04296761751174927
