acquisition_cohort,feature,mean_abs_shap
2024Q1,num__original_combined_loan_to_value_ratio_cltv,0.20060865581035614
2024Q1,num__number_of_borrowers,0.27470511198043823
2024Q1,num__debt_to_income_dti,0.15612074732780457
2024Q1,num__borrower_credit_score_at_origination,0.5117576718330383
2024Q1,num__co_borrower_credit_score_at_origination,0.14478600025177002
2024Q1,num__mortgage_insurance_percentage,0.003636449808254838
2024Q1,num__current_interest_rate,0.21985019743442535
2024Q1,num__current_actual_upb,0.20974241197109222
2024Q1,num__loan_age,0.4744417667388916
2024Q1,num__remaining_months_to_legal_maturity,0.1331636607646942
2024Q1,num__remaining_months_to_maturity,0.29904356598854065
2024Q1,cat__channel,0.10816331952810287
2024Q1,cat__first_time_home_buyer_indicator,0.029165824875235558
2024Q1,cat__loan_purpose,0.21015165746212006
2024Q1,cat__property_type,0.011652384884655476
2024Q1,cat__number_of_units,0.0014859824441373348
2024Q1,cat__occupancy_status,0.014853953383862972
2024Q1,cat__property_state,0.24211418628692627
2024Q1,cat__amortization_type,0.0
2024Q1,cat__current_loan_delinquency_status,0.928689181804657
2024Q1,cat__modification_flag,0.0517907477915287
