target,model,alert_capacity_pct,alerted_events_with_observed_event,mean_months_to_event,median_months_to_event,min_months_to_event,max_months_to_event
formal_adverse_6m,logistic,1.0,7683,2.454,2.0,1,6
formal_adverse_6m,xgboost,1.0,8029,2.387,2.0,1,6
